region,date,day of the week,region_POLSKA,region_ŚŚ_Gaus_Noise_seed_0,region_ŚŚ_Gaus_Noise_seed_1,region_ŚŚ_Gaus_Noise_seed_2,region_ŚŚ_Gaus_Noise_seed_3,region_ŚŚ_Gaus_Noise_seed_4,region_ŚŚ_Gaus_Noise_seed_5,region_ŚŚ_Gaus_Noise_seed_6,region_ŚŚ_Gaus_Noise_seed_7,region_ŚŚ_Gaus_Noise_seed_8,region_ŚŚ_Gaus_Noise_seed_9,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Number_of_people_hospitalized,Engaged_respirator
POLSKA,2020-08-05,6,1,0,0,0,0,0,0,0,0,0,0,0.1,0.06,-0.17,-0.31,0.03,1898.0,72.0
POLSKA,2020-08-06,7,1,0,0,0,0,0,0,0,0,0,0,0.07,0.07,-0.16,-0.31,0.02,1913.0,72.0
POLSKA,2020-08-07,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.05,-0.19,-0.31,0.0,1928.0,73.0
POLSKA,2020-08-08,2,1,0,0,0,0,0,0,0,0,0,0,-0.08,0.01,-0.03,-0.03,-0.06,1928.0,72.0
POLSKA,2020-08-09,3,1,0,0,0,0,0,0,0,0,0,0,0.13,0.19,0.03,0.06,-0.07,1930.0,73.0
POLSKA,2020-08-10,4,1,0,0,0,0,0,0,0,0,0,0,0.1,0.09,-0.18,-0.32,0.01,1929.0,71.0
POLSKA,2020-08-11,5,1,0,0,0,0,0,0,0,0,0,0,0.09,0.08,-0.18,-0.31,0.02,1985.0,74.0
POLSKA,2020-08-12,6,1,0,0,0,0,0,0,0,0,0,0,0.12,0.08,-0.16,-0.31,0.01,2021.0,76.0
POLSKA,2020-08-13,7,1,0,0,0,0,0,0,0,0,0,0,0.11,0.14,-0.15,-0.31,0.01,2059.0,82.0
POLSKA,2020-08-14,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0.32,-0.17,-0.4,0.01,2040.0,79.0
POLSKA,2020-08-15,2,1,0,0,0,0,0,0,0,0,0,0,-0.41,-0.74,-0.16,-0.35,-0.02,2028.0,84.0
POLSKA,2020-08-16,3,1,0,0,0,0,0,0,0,0,0,0,0.23,0.29,0.09,0.06,-0.09,2035.0,81.0
POLSKA,2020-08-17,4,1,0,0,0,0,0,0,0,0,0,0,0.12,0.13,-0.16,-0.33,0.01,2040.0,83.0
POLSKA,2020-08-18,5,1,0,0,0,0,0,0,0,0,0,0,0.05,0.06,-0.2,-0.29,0.03,2057.0,82.0
POLSKA,2020-08-19,6,1,0,0,0,0,0,0,0,0,0,0,0.08,0.06,-0.19,-0.29,0.03,2097.0,83.0
POLSKA,2020-08-20,7,1,0,0,0,0,0,0,0,0,0,0,0.07,0.06,-0.17,-0.29,0.01,2110.0,85.0
POLSKA,2020-08-21,1,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.04,-0.19,-0.29,0.01,2151.0,84.0
POLSKA,2020-08-22,2,1,0,0,0,0,0,0,0,0,0,0,-0.12,-0.05,-0.1,-0.03,-0.04,2189.0,79.0
POLSKA,2020-08-23,3,1,0,0,0,0,0,0,0,0,0,0,0.14,0.11,0.02,0.07,-0.05,2195.0,81.0
POLSKA,2020-08-24,4,1,0,0,0,0,0,0,0,0,0,0,0.07,0.04,-0.18,-0.27,0.02,2207.0,83.0
POLSKA,2020-08-25,5,1,0,0,0,0,0,0,0,0,0,0,0.06,0.05,-0.17,-0.26,0.02,2167.0,76.0
POLSKA,2020-08-26,6,1,0,0,0,0,0,0,0,0,0,0,0.05,0.02,-0.19,-0.26,0.03,2170.0,79.0
POLSKA,2020-08-27,7,1,0,0,0,0,0,0,0,0,0,0,0.04,0.05,-0.19,-0.26,0.03,2185.0,82.0
POLSKA,2020-08-28,1,1,0,0,0,0,0,0,0,0,0,0,0.03,0.05,-0.17,-0.25,0.01,2221.0,89.0
POLSKA,2020-08-29,2,1,0,0,0,0,0,0,0,0,0,0,-0.06,-0.06,-0.08,-0.01,-0.03,2237.0,87.0
POLSKA,2020-08-30,3,1,0,0,0,0,0,0,0,0,0,0,0.54,1.62,0.02,0.17,-0.05,2242.0,85.0
POLSKA,2020-08-31,4,1,0,0,0,0,0,0,0,0,0,0,0.07,-0.01,-0.18,-0.26,0.03,2249.0,83.0
POLSKA,2020-09-01,5,1,0,0,0,0,0,0,0,0,0,0,0.07,0.07,-0.13,-0.26,0.04,2138.0,86.0
POLSKA,2020-09-02,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.03,-0.12,-0.22,0.01,2168.0,83.0
POLSKA,2020-09-03,7,1,0,0,0,0,0,0,0,0,0,0,0.01,0.04,-0.1,-0.21,0.0,2170.0,81.0
POLSKA,2020-09-04,1,1,0,0,0,0,0,0,0,0,0,0,-0.02,0.03,-0.11,-0.2,-0.01,2179.0,75.0
POLSKA,2020-09-05,2,1,0,0,0,0,0,0,0,0,0,0,-0.07,-0.03,-0.11,-0.01,-0.02,2090.0,77.0
POLSKA,2020-09-06,3,1,0,0,0,0,0,0,0,0,0,0,0.04,0.01,-0.06,0.03,-0.02,2091.0,79.0
POLSKA,2020-09-07,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.02,-0.12,-0.22,0.0,2113.0,81.0
POLSKA,2020-09-08,5,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.03,-0.11,-0.22,0.0,2042.0,81.0
POLSKA,2020-09-09,6,1,0,0,0,0,0,0,0,0,0,0,0.01,0.03,-0.11,-0.19,-0.01,2070.0,81.0
POLSKA,2020-09-10,7,1,0,0,0,0,0,0,0,0,0,0,0.03,0.07,-0.09,-0.2,-0.02,1924.0,84.0
POLSKA,2020-09-11,1,1,0,0,0,0,0,0,0,0,0,0,0.03,0.07,-0.07,-0.19,-0.05,1957.0,82.0
POLSKA,2020-09-12,2,1,0,0,0,0,0,0,0,0,0,0,-0.01,-0.02,-0.01,-0.02,-0.07,1945.0,85.0
POLSKA,2020-09-13,3,1,0,0,0,0,0,0,0,0,0,0,0.19,0.2,0.06,0.04,-0.08,1961.0,86.0
POLSKA,2020-09-14,4,1,0,0,0,0,0,0,0,0,0,0,0.02,0.02,-0.1,-0.13,-0.03,1972.0,87.0
POLSKA,2020-09-15,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.03,-0.1,-0.12,-0.02,1996.0,92.0
POLSKA,2020-09-16,6,1,0,0,0,0,0,0,0,0,0,0,0.01,0.02,-0.09,-0.13,-0.02,2007.0,86.0
POLSKA,2020-09-17,7,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.02,-0.12,-0.14,-0.01,1917.0,84.0
POLSKA,2020-09-18,1,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.04,-0.1,-0.13,-0.02,1925.0,83.0
POLSKA,2020-09-19,2,1,0,0,0,0,0,0,0,0,0,0,-0.03,-0.03,-0.05,-0.02,-0.04,1977.0,83.0
POLSKA,2020-09-20,3,1,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.02,0.02,-0.05,1985.0,86.0
POLSKA,2020-09-21,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.02,-0.11,-0.13,-0.01,1979.0,83.0
POLSKA,2020-09-22,5,1,0,0,0,0,0,0,0,0,0,0,-0.04,0.02,-0.09,-0.12,0.0,1993.0,85.0
POLSKA,2020-09-23,6,1,0,0,0,0,0,0,0,0,0,0,-0.04,0.02,-0.09,-0.1,0.0,1971.0,89.0
POLSKA,2020-09-24,7,1,0,0,0,0,0,0,0,0,0,0,-0.05,0.03,-0.1,-0.1,0.0,1964.0,91.0
POLSKA,2020-09-25,1,1,0,0,0,0,0,0,0,0,0,0,-0.07,0.03,-0.11,-0.1,0.01,1995.0,96.0
POLSKA,2020-09-26,2,1,0,0,0,0,0,0,0,0,0,0,-0.09,-0.04,-0.14,-0.04,0.0,2134.0,110.0
POLSKA,2020-09-27,3,1,0,0,0,0,0,0,0,0,0,0,-0.19,-0.22,-0.18,-0.05,0.01,2223.0,124.0
POLSKA,2020-09-28,4,1,0,0,0,0,0,0,0,0,0,0,-0.06,0.0,-0.12,-0.08,0.02,2305.0,134.0
POLSKA,2020-09-29,5,1,0,0,0,0,0,0,0,0,0,0,-0.07,0.02,-0.12,-0.08,0.02,2399.0,141.0
POLSKA,2020-09-30,6,1,0,0,0,0,0,0,0,0,0,0,-0.03,0.03,-0.1,-0.09,0.01,2481.0,152.0
POLSKA,2020-10-01,7,1,0,0,0,0,0,0,0,0,0,0,-0.08,0.03,-0.12,-0.08,0.01,2560.0,159.0
POLSKA,2020-10-02,1,1,0,0,0,0,0,0,0,0,0,0,-0.07,0.04,-0.1,-0.07,0.0,2702.0,166.0
POLSKA,2020-10-03,2,1,0,0,0,0,0,0,0,0,0,0,-0.06,-0.03,-0.04,-0.03,-0.02,2850.0,179.0
POLSKA,2020-10-04,3,1,0,0,0,0,0,0,0,0,0,0,-0.08,-0.12,-0.05,-0.04,-0.01,2977.0,191.0
POLSKA,2020-10-05,4,1,0,0,0,0,0,0,0,0,0,0,-0.09,-0.01,-0.11,-0.09,0.01,3158.0,219.0
POLSKA,2020-10-06,5,1,0,0,0,0,0,0,0,0,0,0,-0.09,0.02,-0.11,-0.09,0.01,3719.0,263.0
POLSKA,2020-10-07,6,1,0,0,0,0,0,0,0,0,0,0,-0.08,0.01,-0.12,-0.08,0.01,4000.0,283.0
POLSKA,2020-10-08,7,1,0,0,0,0,0,0,0,0,0,0,-0.09,0.04,-0.13,-0.08,0.02,4138.0,296.0
POLSKA,2020-10-09,1,1,0,0,0,0,0,0,0,0,0,0,-0.06,0.07,-0.12,-0.08,0.01,4407.0,320.0
POLSKA,2020-10-10,2,1,0,0,0,0,0,0,0,0,0,0,-0.14,-0.04,-0.15,-0.03,0.01,4725.0,346.0
POLSKA,2020-10-11,3,1,0,0,0,0,0,0,0,0,0,0,-0.22,-0.16,-0.18,-0.05,0.02,4924.0,383.0
POLSKA,2020-10-12,4,1,0,0,0,0,0,0,0,0,0,0,-0.14,-0.03,-0.21,-0.11,0.04,5262.0,404.0
POLSKA,2020-10-13,5,1,0,0,0,0,0,0,0,0,0,0,-0.16,-0.03,-0.22,-0.12,0.06,5669.0,421.0
POLSKA,2020-10-14,6,1,0,0,0,0,0,0,0,0,0,0,-0.13,-0.03,-0.29,-0.24,0.08,6084.0,467.0
POLSKA,2020-10-15,7,1,0,0,0,0,0,0,0,0,0,0,-0.15,0.01,-0.2,-0.12,0.05,6538.0,508.0
POLSKA,2020-10-16,1,1,0,0,0,0,0,0,0,0,0,0,-0.15,0.04,-0.23,-0.12,0.05,6980.0,540.0
POLSKA,2020-10-17,2,1,0,0,0,0,0,0,0,0,0,0,-0.25,-0.1,-0.3,-0.08,0.05,7612.0,604.0
POLSKA,2020-10-18,3,1,0,0,0,0,0,0,0,0,0,0,-0.41,-0.3,-0.33,-0.13,0.06,8076.0,649.0
POLSKA,2020-10-19,4,1,0,0,0,0,0,0,0,0,0,0,-0.19,-0.06,-0.31,-0.19,0.07,8375.0,672.0
POLSKA,2020-10-20,5,1,0,0,0,0,0,0,0,0,0,0,-0.2,-0.05,-0.3,-0.19,0.08,8962.0,725.0
POLSKA,2020-10-21,6,1,0,0,0,0,0,0,0,0,0,0,-0.21,-0.05,-0.3,-0.19,0.08,9439.0,757.0
POLSKA,2020-10-22,7,1,0,0,0,0,0,0,0,0,0,0,-0.19,-0.01,-0.27,-0.2,0.07,10091.0,812.0
POLSKA,2020-10-23,1,1,0,0,0,0,0,0,0,0,0,0,-0.21,0.02,-0.28,-0.19,0.07,10788.0,851.0
POLSKA,2020-10-24,2,1,0,0,0,0,0,0,0,0,0,0,-0.34,-0.09,-0.3,-0.09,0.05,11496.0,911.0
POLSKA,2020-10-25,3,1,0,0,0,0,0,0,0,0,0,0,-0.41,-0.15,-0.25,-0.13,0.04,11887.0,947.0
POLSKA,2020-10-26,4,1,0,0,0,0,0,0,0,0,0,0,-0.26,-0.06,-0.29,-0.28,0.09,12282.0,999.0
POLSKA,2020-10-27,5,1,0,0,0,0,0,0,0,0,0,0,-0.28,-0.04,-0.33,-0.28,0.1,13291.0,1078.0
POLSKA,2020-10-28,6,1,0,0,0,0,0,0,0,0,0,0,-0.24,-0.03,-0.28,-0.29,0.1,13931.0,1150.0
POLSKA,2020-10-29,7,1,0,0,0,0,0,0,0,0,0,0,-0.28,-0.02,-0.36,-0.29,0.1,14631.0,1203.0
POLSKA,2020-10-30,1,1,0,0,0,0,0,0,0,0,0,0,-0.3,0.01,-0.33,-0.28,0.1,15444.0,1254.0
POLSKA,2020-10-31,2,1,0,0,0,0,0,0,0,0,0,0,-0.37,-0.1,-0.37,-0.14,0.07,16144.0,1305.0
POLSKA,2020-11-01,3,1,0,0,0,0,0,0,0,0,0,0,-0.6,-0.42,-0.45,-0.26,0.07,16427.0,1371.0
POLSKA,2020-11-02,4,1,0,0,0,0,0,0,0,0,0,0,-0.32,-0.14,-0.41,-0.32,0.12,17225.0,1453.0
POLSKA,2020-11-03,5,1,0,0,0,0,0,0,0,0,0,0,-0.3,-0.08,-0.38,-0.3,0.11,18140.0,1550.0
POLSKA,2020-11-04,6,1,0,0,0,0,0,0,0,0,0,0,-0.28,-0.08,-0.41,-0.3,0.12,18654.0,1625.0
POLSKA,2020-11-05,7,1,0,0,0,0,0,0,0,0,0,0,-0.21,-0.02,-0.38,-0.29,0.11,19114.0,1615.0
POLSKA,2020-11-06,1,1,0,0,0,0,0,0,0,0,0,0,-0.22,0.0,-0.38,-0.28,0.11,19479.0,1703.0
POLSKA,2020-11-07,2,1,0,0,0,0,0,0,0,0,0,0,-0.45,-0.13,-0.4,-0.11,0.07,20249.0,1813.0
POLSKA,2020-11-08,3,1,0,0,0,0,0,0,0,0,0,0,-0.49,-0.25,-0.37,-0.15,0.06,20214.0,1841.0
POLSKA,2020-11-09,4,1,0,0,0,0,0,0,0,0,0,0,-0.35,-0.11,-0.44,-0.31,0.12,20967.0,1804.0
POLSKA,2020-11-10,5,1,0,0,0,0,0,0,0,0,0,0,-0.25,0.18,-0.39,-0.32,0.11,21640.0,1898.0
POLSKA,2020-11-11,6,1,0,0,0,0,0,0,0,0,0,0,-0.71,-0.8,-0.64,-0.81,0.27,21521.0,1975.0
POLSKA,2020-11-12,7,1,0,0,0,0,0,0,0,0,0,0,-0.32,-0.02,-0.43,-0.33,0.13,21899.0,2008.0
POLSKA,2020-11-13,1,1,0,0,0,0,0,0,0,0,0,0,-0.35,-0.01,-0.43,-0.31,0.13,22298.0,2047.0
POLSKA,2020-11-14,2,1,0,0,0,0,0,0,0,0,0,0,-0.4,-0.09,-0.39,-0.09,0.07,22320.0,2126.0
POLSKA,2020-11-15,3,1,0,0,0,0,0,0,0,0,0,0,-0.45,-0.23,-0.33,-0.14,0.05,21988.0,2114.0
POLSKA,2020-11-16,4,1,0,0,0,0,0,0,0,0,0,0,-0.34,-0.11,-0.42,-0.29,0.12,22458.0,2103.0
POLSKA,2020-11-17,5,1,0,0,0,0,0,0,0,0,0,0,-0.34,-0.08,-0.41,-0.29,0.12,23033.0,2114.0
POLSKA,2020-11-18,6,1,0,0,0,0,0,0,0,0,0,0,-0.33,-0.08,-0.4,-0.29,0.12,22812.0,2117.0
POLSKA,2020-11-19,7,1,0,0,0,0,0,0,0,0,0,0,-0.34,-0.07,-0.41,-0.29,0.12,22653.0,2135.0
POLSKA,2020-11-20,1,1,0,0,0,0,0,0,0,0,0,0,-0.35,-0.02,-0.41,-0.27,0.12,22478.0,2120.0
POLSKA,2020-11-21,2,1,0,0,0,0,0,0,0,0,0,0,-0.4,-0.09,-0.39,-0.09,0.07,22094.0,2126.0
POLSKA,2020-11-22,3,1,0,0,0,0,0,0,0,0,0,0,-0.56,-0.36,-0.43,-0.16,0.07,22188.0,2160.0
POLSKA,2020-11-23,4,1,0,0,0,0,0,0,0,0,0,0,-0.34,-0.12,-0.43,-0.28,0.11,22405.0,2095.0
POLSKA,2020-11-24,5,1,0,0,0,0,0,0,0,0,0,0,-0.33,-0.09,-0.41,-0.28,0.12,22119.0,2073.0
POLSKA,2020-11-25,6,1,0,0,0,0,0,0,0,0,0,0,-0.3,-0.08,-0.41,-0.27,0.11,21636.0,2109.0
POLSKA,2020-11-26,7,1,0,0,0,0,0,0,0,0,0,0,-0.31,-0.06,-0.41,-0.27,0.11,21691.0,2107.0
POLSKA,2020-11-27,1,1,0,0,0,0,0,0,0,0,0,0,-0.32,-0.03,-0.41,-0.25,0.11,21470.0,2099.0
POLSKA,2020-11-28,2,1,0,0,0,0,0,0,0,0,0,0,-0.25,-0.06,-0.32,-0.04,0.05,21059.0,2100.0
POLSKA,2020-11-29,3,1,0,0,0,0,0,0,0,0,0,0,-0.55,-0.35,-0.42,-0.14,0.07,21504.0,2118.0
POLSKA,2020-11-30,4,1,0,0,0,0,0,0,0,0,0,0,-0.19,-0.07,-0.38,-0.25,0.1,21342.0,2032.0
POLSKA,2020-12-01,5,1,0,0,0,0,0,0,0,0,0,0,-0.22,-0.04,-0.37,-0.25,0.11,20884.0,2023.0
POLSKA,2020-12-02,6,1,0,0,0,0,0,0,0,0,0,0,-0.21,-0.05,-0.39,-0.25,0.11,20477.0,1986.0
POLSKA,2020-12-03,7,1,0,0,0,0,0,0,0,0,0,0,-0.22,-0.02,-0.37,-0.25,0.1,20137.0,1961.0
POLSKA,2020-12-04,1,1,0,0,0,0,0,0,0,0,0,0,-0.22,0.02,-0.36,-0.23,0.1,19956.0,1904.0
POLSKA,2020-12-05,2,1,0,0,0,0,0,0,0,0,0,0,-0.24,-0.04,-0.29,-0.03,0.05,19363.0,1900.0
POLSKA,2020-12-06,3,1,0,0,0,0,0,0,0,0,0,0,0.02,1.13,-0.25,0.03,0.03,19917.0,1881.0
POLSKA,2020-12-07,4,1,0,0,0,0,0,0,0,0,0,0,-0.25,-0.14,-0.39,-0.25,0.1,19917.0,1835.0
POLSKA,2020-12-08,5,1,0,0,0,0,0,0,0,0,0,0,-0.25,-0.08,-0.39,-0.24,0.11,19459.0,1800.0
POLSKA,2020-12-09,6,1,0,0,0,0,0,0,0,0,0,0,-0.23,-0.07,-0.39,-0.24,0.1,19124.0,1771.0
POLSKA,2020-12-10,7,1,0,0,0,0,0,0,0,0,0,0,-0.22,-0.02,-0.35,-0.24,0.1,18928.0,1768.0
POLSKA,2020-12-11,1,1,0,0,0,0,0,0,0,0,0,0,-0.24,0.0,-0.35,-0.23,0.1,18778.0,1765.0
POLSKA,2020-12-12,2,1,0,0,0,0,0,0,0,0,0,0,-0.26,-0.06,-0.29,-0.03,0.05,18539.0,1778.0
POLSKA,2020-12-13,3,1,0,0,0,0,0,0,0,0,0,0,0.03,1.2,-0.26,0.02,0.04,18708.0,1785.0
POLSKA,2020-12-14,4,1,0,0,0,0,0,0,0,0,0,0,-0.2,-0.09,-0.36,-0.24,0.09,19210.0,1739.0
POLSKA,2020-12-15,5,1,0,0,0,0,0,0,0,0,0,0,-0.19,-0.01,-0.34,-0.24,0.1,18896.0,1716.0
POLSKA,2020-12-16,6,1,0,0,0,0,0,0,0,0,0,0,-0.17,0.01,-0.33,-0.24,0.09,18707.0,1726.0
POLSKA,2020-12-17,7,1,0,0,0,0,0,0,0,0,0,0,-0.15,0.06,-0.31,-0.24,0.09,18543.0,1731.0
POLSKA,2020-12-18,1,1,0,0,0,0,0,0,0,0,0,0,-0.18,0.05,-0.3,-0.22,0.09,18342.0,1695.0
